scraped_at,site,route_id,origin,destination,depart_date,return_date,price,currency,notes
2026-08-01T03:57:59.385Z,aerolineas,bue-gyn,EZE,GYN,2026-12-18,2026-12-28,3439,BRL,"{""out"":{""stops"":1,""totalDurationMin"":685,""segments"":[{""airline"":""AR"",""flightNumber"":1246,""origin"":""AEP"",""destination"":""GRU"",""departure"":""2026-12-18T11:55:00"",""arrival"":""2026-12-18T14:40:00""},{""airline"":""G3"",""flightNumber"":7630,""origin"":""GRU"",""destination"":""GYN"",""departure"":""2026-12-18T21:40:00"",""arrival"":""2026-12-18T23:20:00""}]},""in"":{""stops"":1,""totalDurationMin"":740,""segments"":[{""airline"":""G3"",""flightNumber"":2063,""origin"":""GYN"",""destination"":""GIG"",""departure"":""2026-12-28T17:40:00"",""arrival"":""2026-12-28T19:20:00""},{""airline"":""AR"",""flightNumber"":1271,""origin"":""GIG"",""destination"":""AEP"",""departure"":""2026-12-29T02:35:00"",""arrival"":""2026-12-29T06:00:00""}]}}"
2026-08-01T03:57:59.386Z,aerolineas,bue-gyn,EZE,GYN,2026-12-19,2026-12-29,3711,BRL,"{""out"":{""stops"":1,""totalDurationMin"":785,""segments"":[{""airline"":""AR"",""flightNumber"":1240,""origin"":""AEP"",""destination"":""GRU"",""departure"":""2026-12-19T20:00:00"",""arrival"":""2026-12-19T22:45:00""},{""airline"":""LA"",""flightNumber"":8144,""origin"":""GRU"",""destination"":""GYN"",""departure"":""2026-12-20T07:30:00"",""arrival"":""2026-12-20T09:05:00""}]},""in"":{""stops"":1,""totalDurationMin"":420,""segments"":[{""airline"":""G3"",""flightNumber"":2063,""origin"":""GYN"",""destination"":""GIG"",""departure"":""2026-12-29T17:40:00"",""arrival"":""2026-12-29T19:20:00""},{""airline"":""AR"",""flightNumber"":1269,""origin"":""GIG"",""destination"":""AEP"",""departure"":""2026-12-29T21:15:00"",""arrival"":""2026-12-30T00:40:00""}]}}"
2026-08-01T03:57:59.386Z,aerolineas,bue-gyn,EZE,GYN,2026-12-20,2026-12-30,3439,BRL,"{""out"":{""stops"":1,""totalDurationMin"":405,""segments"":[{""airline"":""AR"",""flightNumber"":1246,""origin"":""AEP"",""destination"":""GRU"",""departure"":""2026-12-20T11:55:00"",""arrival"":""2026-12-20T14:40:00""},{""airline"":""G3"",""flightNumber"":1492,""origin"":""GRU"",""destination"":""GYN"",""departure"":""2026-12-20T17:00:00"",""arrival"":""2026-12-20T18:40:00""}]},""in"":{""stops"":1,""totalDurationMin"":490,""segments"":[{""airline"":""G3"",""flightNumber"":2065,""origin"":""GYN"",""destination"":""GIG"",""departure"":""2026-12-30T05:10:00"",""arrival"":""2026-12-30T06:50:00""},{""airline"":""AR"",""flightNumber"":1261,""origin"":""GIG"",""destination"":""AEP"",""departure"":""2026-12-30T09:55:00"",""arrival"":""2026-12-30T13:20:00""}]}}"
2026-08-01T03:57:59.386Z,aerolineas,bue-gyn,EZE,GYN,2026-12-21,2026-12-31,3206,BRL,"{""out"":{""stops"":1,""totalDurationMin"":1015,""segments"":[{""airline"":""AR"",""flightNumber"":1242,""origin"":""AEP"",""destination"":""GRU"",""departure"":""2026-12-21T06:25:00"",""arrival"":""2026-12-21T09:10:00""},{""airline"":""G3"",""flightNumber"":7630,""origin"":""GRU"",""destination"":""GYN"",""departure"":""2026-12-21T21:40:00"",""arrival"":""2026-12-21T23:20:00""}]},""in"":{""stops"":1,""totalDurationMin"":405,""segments"":[{""airline"":""G3"",""flightNumber"":2061,""origin"":""GYN"",""destination"":""GIG"",""departure"":""2026-12-31T10:45:00"",""arrival"":""2026-12-31T12:25:00""},{""airline"":""AR"",""flightNumber"":1265,""origin"":""GIG"",""destination"":""AEP"",""departure"":""2026-12-31T14:05:00"",""arrival"":""2026-12-31T17:30:00""}]}}"
2026-08-01T03:57:59.386Z,aerolineas,bue-gyn,EZE,GYN,2026-12-22,2027-01-01,3671,BRL,"{""out"":{""stops"":1,""totalDurationMin"":655,""segments"":[{""airline"":""AR"",""flightNumber"":1260,""origin"":""AEP"",""destination"":""GIG"",""departure"":""2026-12-22T06:00:00"",""arrival"":""2026-12-22T08:55:00""},{""airline"":""G3"",""flightNumber"":2062,""origin"":""GIG"",""destination"":""GYN"",""departure"":""2026-12-22T15:10:00"",""arrival"":""2026-12-22T16:55:00""}]},""in"":{""stops"":1,""totalDurationMin"":880,""segments"":[{""airline"":""G3"",""flightNumber"":7524,""origin"":""GYN"",""destination"":""GRU"",""departure"":""2027-01-01T19:20:00"",""arrival"":""2027-01-01T21:15:00""},{""airline"":""AR"",""flightNumber"":1241,""origin"":""GRU"",""destination"":""AEP"",""departure"":""2027-01-02T07:00:00"",""arrival"":""2027-01-02T10:00:00""}]}}"
2026-08-01T03:57:59.386Z,aerolineas,bue-gyn,EZE,GYN,2026-12-23,2027-01-02,3638,BRL,"{""out"":{""stops"":1,""totalDurationMin"":735,""segments"":[{""airline"":""AR"",""flightNumber"":1242,""origin"":""AEP"",""destination"":""GRU"",""departure"":""2026-12-23T06:25:00"",""arrival"":""2026-12-23T09:10:00""},{""airline"":""G3"",""flightNumber"":7510,""origin"":""GRU"",""destination"":""GYN"",""departure"":""2026-12-23T17:00:00"",""arrival"":""2026-12-23T18:40:00""}]},""in"":{""stops"":1,""totalDurationMin"":460,""segments"":[{""airline"":""G3"",""flightNumber"":7679,""origin"":""GYN"",""destination"":""GRU"",""departure"":""2027-01-02T06:00:00"",""arrival"":""2027-01-02T07:40:00""},{""airline"":""AR"",""flightNumber"":1243,""origin"":""GRU"",""destination"":""AEP"",""departure"":""2027-01-02T10:40:00"",""arrival"":""2027-01-02T13:40:00""}]}}"
2026-08-01T03:57:59.386Z,aerolineas,bue-gyn,EZE,GYN,2026-12-24,2027-01-03,3586,BRL,"{""out"":{""stops"":1,""totalDurationMin"":895,""segments"":[{""airline"":""AR"",""flightNumber"":1240,""origin"":""AEP"",""destination"":""GRU"",""departure"":""2026-12-24T20:00:00"",""arrival"":""2026-12-24T22:45:00""},{""airline"":""G3"",""flightNumber"":7546,""origin"":""GRU"",""destination"":""GYN"",""departure"":""2026-12-25T09:15:00"",""arrival"":""2026-12-25T10:55:00""}]},""in"":{""stops"":1,""totalDurationMin"":580,""segments"":[{""airline"":""G3"",""flightNumber"":7679,""origin"":""GYN"",""destination"":""GRU"",""departure"":""2027-01-03T06:00:00"",""arrival"":""2027-01-03T07:40:00""},{""airline"":""AR"",""flightNumber"":1245,""origin"":""GRU"",""destination"":""AEP"",""departure"":""2027-01-03T12:40:00"",""arrival"":""2027-01-03T15:40:00""}]}}"
2026-08-01T03:57:59.386Z,aerolineas,bue-gyn,EZE,GYN,2026-12-25,2027-01-04,3722,BRL,"{""out"":{""stops"":1,""totalDurationMin"":735,""segments"":[{""airline"":""AR"",""flightNumber"":1242,""origin"":""AEP"",""destination"":""GRU"",""departure"":""2026-12-25T06:25:00"",""arrival"":""2026-12-25T09:10:00""},{""airline"":""G3"",""flightNumber"":7510,""origin"":""GRU"",""destination"":""GYN"",""departure"":""2026-12-25T17:00:00"",""arrival"":""2026-12-25T18:40:00""}]},""in"":{""stops"":1,""totalDurationMin"":880,""segments"":[{""airline"":""G3"",""flightNumber"":7524,""origin"":""GYN"",""destination"":""GRU"",""departure"":""2027-01-04T19:20:00"",""arrival"":""2027-01-04T21:15:00""},{""airline"":""AR"",""flightNumber"":1241,""origin"":""GRU"",""destination"":""AEP"",""departure"":""2027-01-05T07:00:00"",""arrival"":""2027-01-05T10:00:00""}]}}"
2026-08-01T03:57:59.386Z,aerolineas,bue-gyn,EZE,GYN,2026-12-26,2027-01-05,3721,BRL,"{""out"":{""stops"":1,""totalDurationMin"":890,""segments"":[{""airline"":""AR"",""flightNumber"":1240,""origin"":""AEP"",""destination"":""GRU"",""departure"":""2026-12-26T20:00:00"",""arrival"":""2026-12-26T22:45:00""},{""airline"":""G3"",""flightNumber"":7546,""origin"":""GRU"",""destination"":""GYN"",""departure"":""2026-12-27T09:15:00"",""arrival"":""2026-12-27T10:50:00""}]},""in"":{""stops"":1,""totalDurationMin"":880,""segments"":[{""airline"":""G3"",""flightNumber"":7524,""origin"":""GYN"",""destination"":""GRU"",""departure"":""2027-01-05T19:20:00"",""arrival"":""2027-01-05T21:15:00""},{""airline"":""AR"",""flightNumber"":1241,""origin"":""GRU"",""destination"":""AEP"",""departure"":""2027-01-06T07:00:00"",""arrival"":""2027-01-06T10:00:00""}]}}"
2026-08-01T03:57:59.386Z,aerolineas,bue-gyn,EZE,GYN,2026-12-27,2027-01-06,3721,BRL,"{""out"":{""stops"":1,""totalDurationMin"":700,""segments"":[{""airline"":""AR"",""flightNumber"":1246,""origin"":""AEP"",""destination"":""GRU"",""departure"":""2026-12-27T11:55:00"",""arrival"":""2026-12-27T14:40:00""},{""airline"":""G3"",""flightNumber"":7630,""origin"":""GRU"",""destination"":""GYN"",""departure"":""2026-12-27T21:55:00"",""arrival"":""2026-12-27T23:35:00""}]},""in"":{""stops"":1,""totalDurationMin"":880,""segments"":[{""airline"":""G3"",""flightNumber"":7524,""origin"":""GYN"",""destination"":""GRU"",""departure"":""2027-01-06T19:20:00"",""arrival"":""2027-01-06T21:15:00""},{""airline"":""AR"",""flightNumber"":1241,""origin"":""GRU"",""destination"":""AEP"",""departure"":""2027-01-07T07:00:00"",""arrival"":""2027-01-07T10:00:00""}]}}"
2026-08-01T03:57:59.386Z,aerolineas,bue-gyn,EZE,GYN,2026-12-28,2027-01-07,3721,BRL,"{""out"":{""stops"":1,""totalDurationMin"":400,""segments"":[{""airline"":""AR"",""flightNumber"":1250,""origin"":""AEP"",""destination"":""GRU"",""departure"":""2026-12-28T16:40:00"",""arrival"":""2026-12-28T19:25:00""},{""airline"":""G3"",""flightNumber"":7630,""origin"":""GRU"",""destination"":""GYN"",""departure"":""2026-12-28T21:40:00"",""arrival"":""2026-12-28T23:20:00""}]},""in"":{""stops"":1,""totalDurationMin"":535,""segments"":[{""airline"":""G3"",""flightNumber"":7631,""origin"":""GYN"",""destination"":""GRU"",""departure"":""2027-01-07T11:35:00"",""arrival"":""2027-01-07T13:15:00""},{""airline"":""AR"",""flightNumber"":1247,""origin"":""GRU"",""destination"":""AEP"",""departure"":""2027-01-07T17:30:00"",""arrival"":""2027-01-07T20:30:00""}]}}"
2026-08-01T03:57:59.386Z,aerolineas,bue-gyn,EZE,GYN,2026-12-29,2027-01-08,4059,BRL,"{""out"":{""stops"":1,""totalDurationMin"":895,""segments"":[{""airline"":""AR"",""flightNumber"":1240,""origin"":""AEP"",""destination"":""GRU"",""departure"":""2026-12-29T20:00:00"",""arrival"":""2026-12-29T22:45:00""},{""airline"":""G3"",""flightNumber"":7546,""origin"":""GRU"",""destination"":""GYN"",""departure"":""2026-12-30T09:15:00"",""arrival"":""2026-12-30T10:55:00""}]},""in"":{""stops"":1,""totalDurationMin"":620,""segments"":[{""airline"":""G3"",""flightNumber"":7679,""origin"":""GYN"",""destination"":""GRU"",""departure"":""2027-01-08T06:00:00"",""arrival"":""2027-01-08T07:50:00""},{""airline"":""AR"",""flightNumber"":1245,""origin"":""GRU"",""destination"":""AEP"",""departure"":""2027-01-08T13:20:00"",""arrival"":""2027-01-08T16:20:00""}]}}"
2026-08-01T03:57:59.386Z,aerolineas,bue-gyn,EZE,GYN,2026-12-30,2027-01-09,3863,BRL,"{""out"":{""stops"":1,""totalDurationMin"":895,""segments"":[{""airline"":""AR"",""flightNumber"":1240,""origin"":""AEP"",""destination"":""GRU"",""departure"":""2026-12-30T20:00:00"",""arrival"":""2026-12-30T22:45:00""},{""airline"":""G3"",""flightNumber"":7546,""origin"":""GRU"",""destination"":""GYN"",""departure"":""2026-12-31T09:15:00"",""arrival"":""2026-12-31T10:55:00""}]},""in"":{""stops"":1,""totalDurationMin"":535,""segments"":[{""airline"":""G3"",""flightNumber"":7631,""origin"":""GYN"",""destination"":""GRU"",""departure"":""2027-01-09T11:35:00"",""arrival"":""2027-01-09T13:15:00""},{""airline"":""AR"",""flightNumber"":1247,""origin"":""GRU"",""destination"":""AEP"",""departure"":""2027-01-09T17:30:00"",""arrival"":""2027-01-09T20:30:00""}]}}"
